Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
CVS,CVS HEALTH CORP COM,77.72,25.4,FLAT,79.03,70.39,0.25,10.85,7.56,N/A
CVX,CHEVRON CORP NEW COM,147.75,17.3,FLAT,152.3,150.43,1.58,19.56,7.95,N/A
CZR,CAESARS ENTERTAINMENT INC NEW COM,24.38,45.5,FLAT,21.83,25.77,0.45,40.23,8.62,N/A
DAL,DELTA AIR LINES INC DEL COM NEW,71.06,30.3,UP,62.08,54.02,0.74,9.88,8.53,N/A
DASH,DOORDASH INC CL A,234.25,37.2,UP,229.38,225.36,7.99,38.35,4.98,N/A
DBRG,DIGITALBRIDGE GROUP INC CL A NEW,13.19,112.1,UP,11.73,10.67,25.63,32.98,4.64,N/A
DBX,DROPBOX INC CL A,28.69,33.2,FLAT,29.24,28.5,2.97,9.58,3.4,N/A
DDD,3-D SYS CORP DEL COM NEW,1.84,115.6,FLAT,2.43,2.16,0.69,-5.66,3.96,N/A
DDOG,DATADOG INC CL A COM,140.39,34.6,FLAT,160.93,132.94,15.33,59.89,4.41,N/A
DE,DEERE & CO COM,470.57,21.7,DOWN,470.9,483.97,2.79,20.79,1.44,N/A
DECK,DECKERS OUTDOOR CORP COM,99.47,37.5,FLAT,91.42,105.71,2.81,14.5,4.0,N/A
DELL,DELL TECHNOLOGIES INC CL C,126.42,38.8,FLAT,141.35,121.92,0.81,11.03,7.42,N/A
DFDV,DEFI DEVELOPMENT CORP COM,5.15,96.9,DOWN,9.15,13.67,21.8,-15.61,1.75,N/A
DG,DOLLAR GEN CORP NEW COM,137.28,24.6,UP,109.9,103.78,0.72,19.44,3.55,N/A
DHI,D R HORTON INC COM,147.18,32.7,FLAT,151.27,143.12,1.26,10.91,3.18,N/A
DHR,DANAHER CORPORATION COM,224.84,22.4,UP,219.8,203.86,6.63,26.7,4.22,N/A
DIA,SPDR DOW JONES INDL AVERAGE ET UT SER 1,0,63.5,N/A,472.49,442.94,0,0,6.56,N/A
DIS,DISNEY WALT CO COM,111.24,20.7,FLAT,109.32,109.65,2.12,15.12,10.48,N/A
DJT,TRUMP MEDIA & TECHNOLOGY GROUP COM,16.09,99.2,FLAT,13.15,18.04,1224.93,0,8.06,N/A
DKNG,DRAFTKINGS INC NEW COM CL A,34.21,51.1,FLAT,32.4,37.84,3.12,20.83,17.09,N/A
DLR,DIGITAL RLTY TR INC COM,149.99,34.6,DOWN,164.04,165.17,8.98,41.49,1.82,N/A
DLTR,DOLLAR TREE INC COM,127.84,28.6,UP,107.57,96.75,1.38,19.09,4.14,N/A
DNN,DENISON MINES CORP COM,2.74,87.5,UP,2.71,2.07,505.26,-56.7,79.91,N/A
DNUT,KRISPY KREME INC COM,4.56,72.7,UP,3.97,3.77,0.51,-47.58,7.49,N/A
DOCN,DIGITALOCEAN HLDGS INC COM,47.52,55.2,UP,44.18,34.67,5.03,24.32,2.58,N/A
